airplane[   6260 6438524    1028]
bathtub[   1060 2668460    2517]
bed[    5150 12807363     2486]
bench[   1730 3644089    2106]
bookshelf[    5720 17071154     2984]
bottle[   3350 5795030    1729]
bowl[    640 3431835    5362]
car[   1970 5181019    2629]
chair[    8890 18372036     2066]
cone[   1670 4465607    2674]
cup[    790 3278745    4150]
curtain[   1380 2145737    1554]
desk[   2000 5114980    2557]
door[   1090 2252320    2066]
dresser[   2000 7261487    3630]
flower_pot[   1490 5091339    3417]
glass_box[   1710 5918487    3461]
guitar[   1550 1065603     687]
keyboard[   1450 2264500    1561]
lamp[   1240 2038459    1643]
laptop[   1490 3639046    2442]
mantel[   2840 7815976    2752]
monitor[    4650 11082192     2383]
night_stand[   2000 6738626    3369]
person[   880 986887   1121]
piano[   2310 5932789    2568]
plant[   2400 5248727    2186]
radio[   1040 2519647    2422]
range_hood[   1150 3495769    3039]
sink[   1280 3268748    2553]
sofa[    6800 19919866     2929]
stairs[   1240 2327186    1876]
stool[    900 1696165    1884]
table[    3920 11228198     2864]
tent[   1630 4507346    2765]
toilet[    3440 10374709     3015]
tv_stand[   2670 8382985    3139]
vase[    4750 17099856     3599]
wardrobe[    870 2692219    3094]
xbox[   1030 2633442    2556]
