airplane[     6260 583408755     93196]
bathtub[     1060 268656746    253449]
bed[      5150 1231344032     239095]
bench[     1730 330619046    191109]
bookshelf[      5720 1633498212     285576]
bottle[     3350 553044925    165088]
bowl[      640 332887372    520136]
car[     1970 502178014    254912]
chair[      8890 1673148161     188205]
cone[     1670 436650000    261467]
cup[      790 314958289    398681]
curtain[     1380 197615216    143199]
desk[     2000 488841953    244420]
door[     1090 211427396    193970]
dresser[     2000 699129715    349564]
flower_pot[     1490 481607881    323226]
glass_box[     1710 571543119    334235]
guitar[    1550 94844956    61190]
keyboard[     1450 218097466    150412]
lamp[     1240 189753496    153027]
laptop[     1490 350813758    235445]
mantel[     2840 753914221    265462]
monitor[      4650 1058880885     227716]
night_stand[     2000 642056930    321028]
person[     880 90737114   103110]
piano[     2310 568067325    245916]
plant[     2400 447433248    186430]
radio[     1040 244765959    235351]
range_hood[     1150 339199296    294955]
sink[     1280 319045192    249254]
sofa[      6800 1924053003     282948]
stairs[     1240 206149480    166249]
stool[      900 158264938    175849]
table[      3920 1052759890     268561]
tent[     1630 438723133    269155]
toilet[     3440 999565251    290571]
tv_stand[     2670 808977562    302987]
vase[      4750 1656832010     348806]
wardrobe[      870 264612613    304152]
xbox[     1030 255431798    247992]
