airplane[    6260 65846357    10518]
bathtub[    1060 28887084    27251]
bed[     5150 138192368     26833]
bench[    1730 37759471    21826]
bookshelf[     5720 182191286     31851]
bottle[    3350 61861824    18466]
bowl[     640 37899652    59218]
car[    1970 55779685    28314]
chair[     8890 190239848     21399]
cone[    1670 48442528    29007]
cup[     790 35649423    45125]
curtain[    1380 22201567    16088]
desk[    2000 54559530    27279]
door[    1090 23558039    21612]
dresser[    2000 78545380    39272]
flower_pot[    1490 53989879    36234]
glass_box[    1710 64418751    37671]
guitar[    1550 10646431     6868]
keyboard[    1450 24302502    16760]
lamp[    1240 21312352    17187]
laptop[    1490 38467210    25816]
mantel[    2840 83794302    29505]
monitor[     4650 118440996     25471]
night_stand[    2000 72781814    36390]
person[     880 10271046    11671]
piano[    2310 63697769    27574]
plant[    2400 51671381    21529]
radio[    1040 27138761    26094]
range_hood[    1150 37642031    32732]
sink[    1280 35915288    28058]
sofa[     6800 214526838     31548]
stairs[    1240 23580213    19016]
stool[     900 17489617    19432]
table[     3920 117027113     29853]
tent[    1630 48836566    29961]
toilet[     3440 111973808     32550]
tv_stand[    2670 90377230    33849]
vase[     4750 185462458     39044]
wardrobe[     870 29565221    33983]
xbox[    1030 28382109    27555]
