airplane[  6260 875999    139]
bathtub[  1060 317093    299]
bed[   5150 1533064     297]
bench[  1730 452314    261]
bookshelf[   5720 2051945     358]
bottle[  3350 687175    205]
bowl[   640 395291    617]
car[  1970 608697    308]
chair[   8890 2346116     263]
cone[  1670 530687    317]
cup[   790 375741    475]
curtain[  1380 258704    187]
desk[  2000 613099    306]
door[  1090 265302    243]
dresser[  2000 833193    416]
flower_pot[  1490 595683    399]
glass_box[  1710 671400    392]
guitar[  1550 142051     91]
keyboard[  1450 278893    192]
lamp[  1240 251882    203]
laptop[  1490 424292    284]
mantel[  2840 917268    322]
monitor[   4650 1307940     281]
night_stand[  2000 782354    391]
person[   880 128712    146]
piano[  2310 709841    307]
plant[  2400 671137    279]
radio[  1040 293323    282]
range_hood[  1150 405550    352]
sink[  1280 390818    305]
sofa[   6800 2333608     343]
stairs[  1240 292591    235]
stool[   900 219471    243]
table[   3920 1351628     344]
tent[  1630 523910    321]
toilet[   3440 1213112     352]
tv_stand[  2670 989687    370]
vase[   4750 1977489     416]
wardrobe[   870 316105    363]
xbox[  1030 304766    295]
